
 ▐▛███▜▌   Claude Code v2.1.45
▝▜█████▛▘  Opus 4.6 · Claude Max
  ▘▘ ▝▝    ~/Documents/Projects/olorin/olorin-media/bayit-plus/ios-app

╭──────────────────────────────────────────────────────────────────────────────╮
│ Plan to implement                                                            │
│                                                                              │
│ Settings Feature Parity Plan - All Bayit+ Platforms                          │
│                                                                              │
│ Context                                                                      │
│                                                                              │
│ An exhaustive investigation of the Settings/Config page across all 5 Bayit+  │
│ platforms (web, mobile web, Android, iOS, tvOS) reveals significant feature  │
│ disparity. The iOS app has the most complete settings implementation with 12 │
│  sections and 100+ individual settings. The goal is to bring ALL platforms   │
│ to full feature parity with the iOS superset, while respecting               │
│ platform-specific constraints (e.g., tvOS has no downloads, no keyboard).    │
│                                                                              │
│ Reference Platform: iOS App                                                  │
│                                                                              │
│ The iOS app is the gold standard with these sections:                        │
│ 1. Profile Settings                                                          │
│ 2. General Settings (Language, Theme)                                        │
│ 3. Playback Settings                                                         │
│ 4. Subtitle Settings                                                         │
│ 5. Audio Settings                                                            │
│ 6. Notification Settings                                                     │
│ 7. AI Features (Beta Credits, Dubbing Config, Trivia Config)                 │
│ 8. Privacy & Security (Privacy, Parental Controls, Security)                 │
│ 9. Subscription Settings                                                     │
│ 10. Accessibility Settings                                                   │
│ 11. About & Legal                                                            │
│ 12. Account Actions (Sign Out)                                               │
│                                                                              │
│ ---                                                                          │
│ Cross-Platform Feature Gap Matrix                                            │
│                                                                              │
│ Legend                                                                       │
│                                                                              │
│ - Y = Fully implemented                                                      │
│ - P = Partially implemented (UI only / not connected)                        │
│ - N = Missing entirely                                                       │
│ - X = Not applicable (platform limitation)                                   │
│                                                                              │
│ #: PROFILE                                                                   │
│ Feature:                                                                     │
│ iOS:                                                                         │
│ Android:                                                                     │
│ tvOS:                                                                        │
│ Web:                                                                         │
│ Mobile Web:                                                                  │
│ ────────────────────────────────────────                                     │
│ #: 1                                                                         │
│ Feature: Avatar upload                                                       │
│ iOS: Y                                                                       │
│ Android: Y                                                                   │
│ tvOS: N (display only)                                                       │
│ Web: P                                                                       │
│ Mobile Web: P                                                                │
│ ────────────────────────────────────────                                     │
│ #: 2                                                                         │
│ Feature: Display name edit                                                   │
│ iOS: Y                                                                       │
│ Android: Y                                                                   │
│ tvOS: N                                                                      │
│ Web: P                                                                       │
│ Mobile Web: P                                                                │
│ ────────────────────────────────────────                                     │
│ #: 3                                                                         │
│ Feature: Email display                                                       │
│ iOS: Y                                                                       │
│ Android: Y                                                                   │
│ tvOS: Y                                                                      │
│ Web: P                                                                       │
│ Mobile Web: P                                                                │
│ ────────────────────────────────────────                                     │
│ #: 4                                                                         │
│ Feature: Phone number edit                                                   │
│ iOS: Y                                                                       │
│ Android: N                                                                   │
│ tvOS: N                                                                      │
│ Web: P                                                                       │
│ Mobile Web: P                                                                │
│ ────────────────────────────────────────                                     │
│ #: 5                                                                         │
│ Feature: Account deletion                                                    │
│ iOS: Y                                                                       │
│ Android: Y                                                                   │
│ tvOS: Y                                                                      │
│ Web: P (alert)                                                               │
│ Mobile Web: P (alert)                                                        │
│ ────────────────────────────────────────                                     │
│ #: PLAYBACK                                                                  │
│ Feature:                                                                     │
│ iOS:                                                                         │
│ Android:                                                                     │
│ tvOS:                                                                        │
│ Web:                                                                         │
│ Mobile Web:                                                                  │
│ ────────────────────────────────────────                                     │
│ #: 6                                                                         │
│ Feature: Video quality                                                       │
│ iOS: Y                                                                       │
│ Android: Y                                                                   │
│ tvOS: Y                                                                      │
│ Web: P                                                                       │
│ Mobile Web: P                                                                │
│ ────────────────────────────────────────                                     │
│ #: 7                                                                         │
│ Feature: Cellular quality (separate)                                         │
│ iOS: Y                                                                       │
│ Android: N                                                                   │
│ tvOS: X                                                                      │
│ Web: X                                                                       │
│ Mobile Web: X                                                                │
│ ────────────────────────────────────────                                     │
│ #: 8                                                                         │
│ Feature: Autoplay                                                            │
│ iOS: Y                                                                       │
│ Android: Y                                                                   │
│ tvOS: Y                                                                      │
│ Web: P                                                                       │
│ Mobile Web: P                                                                │
│ ────────────────────────────────────────                                     │
│ #: 9                                                                         │
│ Feature: Autoplay next episode                                               │
│ iOS: Y                                                                       │
│ Android: Y                                                                   │
│ tvOS: Y                                                                      │
│ Web: P                                                                       │
│ Mobile Web: P                                                                │
│ ────────────────────────────────────────                                     │
│ #: 10                                                                        │
│ Feature: Autoplay countdown timer                                            │
│ iOS: N                                                                       │
│ Android: Y                                                                   │
│ tvOS: Y                                                                      │
│ Web: N                                                                       │
│ Mobile Web: N                                                                │
│ ────────────────────────────────────────                                     │
│ #: 11                                                                        │
│ Feature: PiP toggle                                                          │
│ iOS: Y                                                                       │
│ Android: N                                                                   │
