
 ▐▛███▜▌   Claude Code v2.1.41
▝▜█████▛▘  Opus 4.6 · Claude Max
  ▘▘ ▝▝    ~/Documents/Projects/olorin/olorin-media/bayit-plus/ios-app

╭──────────────────────────────────────────────────────────────────────────────╮
│ Plan to implement                                                            │
│                                                                              │
│ Samsung Mobile App (React Native) - Full Parity with iOS App                 │
│                                                                              │
│ Context                                                                      │
│                                                                              │
│ The iOS app (ios-app/) is a native Swift/SwiftUI app with 243 views, 60      │
│ models, 72 ViewModels, and 50 repositories. The React Native mobile app      │
│ (mobile-app/) runs on Samsung/Android and currently has ~65 screens with ~42 │
│  components. While the mobile app covers basic streaming, it's missing       │
│ significant feature areas that the iOS app provides.                         │
│                                                                              │
│ Additionally, ~15 existing screens are not wired into RootNavigator.tsx      │
│ despite having route types defined - this must be fixed first.               │
│                                                                              │
│ Base path: /Users/olorin/Documents/Projects/olorin/olorin-media/bayit-plus/m │
│ obile-app/src/                                                               │
│                                                                              │
│ ---                                                                          │
│ Phase 0: Wire Existing Unregistered Screens                                  │
│                                                                              │
│ Before adding new features, register screens that exist but aren't in        │
│ RootNavigator.tsx:                                                           │
│                                                                              │
│ Files to modify:                                                             │
│ - src/navigation/RootNavigator.tsx - Add lazy-loaded Stack.Screen entries    │
│ for:                                                                         │
│   - WatchPartyScreen, ActivePartyScreen                                      │
│   - InteractiveMissionScreen, AvatarWardrobeScreen, VideoSelfieScreen        │
│   - PhoneticMirrorScreen, MissionsDashboardScreen, NewsClipScreen            │
│   - MeshAvatarScreen, ZehAniDashboardScreen                                  │
│   - FamilyControlsScreenMobile, HouseholdScreenMobile                        │
│   - AddProfileScreen, EditProfileScreen, ForgotPasswordScreen                │
│   - CollectionDetailScreenMobile, AudiobooksScreenMobile,                    │
│ AudiobookDetailScreenMobile                                                  │
│ - src/navigation/types.ts - Add missing route params:                        │
│   - WatchParty, ActiveParty, FamilyControls, Household                       │
│   - AddProfile, EditProfile, ForgotPassword                                  │
│   - CollectionDetail: { collectionId: string }, Audiobooks, AudiobookDetail: │
│  { audiobookId: string }                                                     │
│                                                                              │
│ ---                                                                          │
│ Phase 1: Player Enhancements (~35 new files, 0 new routes)                   │
│                                                                              │
│ All Phase 1 features are in-player panels/overlays within                    │
│ PlayerScreenMobile.tsx.                                                      │
│                                                                              │
│ 1A. AI Companion Sidebar                                                     │
│                                                                              │
│ File: components/player/ai-companion/AICompanionSidebar.tsx                  │
│ Purpose: Slide-in sidebar with tabs                                          │
│ ────────────────────────────────────────                                     │
│ File: components/player/ai-companion/CompanionContextTab.tsx                 │
│ Purpose: Cultural context tab                                                │
│ ────────────────────────────────────────                                     │
│ File: components/player/ai-companion/CompanionQuizTab.tsx                    │
│ Purpose: Quiz tab                                                            │
│ ────────────────────────────────────────                                     │
│ File: components/player/ai-companion/CompanionVocabularyTab.tsx              │
│ Purpose: Vocabulary tab                                                      │
│ ────────────────────────────────────────                                     │
│ File: components/player/ai-companion/index.ts                                │
│ Purpose: Barrel export                                                       │
│ ────────────────────────────────────────                                     │
│ File: hooks/useAICompanion.ts                                                │
│ Purpose: AI companion state hook                                             │
│                                                                              │
│ API: chatService.sendMessage() with context: { contentId, tab }              │
│                                                                              │
│ 1B. Advanced Subtitles                                                       │
│                                                                              │
│ File: components/player/subtitles/AISubtitlesPicker.tsx                      │
│ Purpose: AI subtitle selection                                               │
│ ────────────────────────────────────────                                     │
│ File: components/player/subtitles/SplitSubtitleLanguagePicker.tsx            │
│ Purpose: Dual language picker                                                │
│ ────────────────────────────────────────                                     │
│ File: components/player/subtitles/SplitSubtitleOverlay.tsx                   │
│ Purpose: Bilingual split view                                                │
│ ────────────────────────────────────────                                     │
│ File: components/player/subtitles/LiveSplitSubtitleOverlay.tsx               │
│ Purpose: Live split subtitles                                                │
│ ────────────────────────────────────────                                     │
│ File: components/player/subtitles/SubtitlePane.tsx                           │
│ Purpose: Single pane display                                                 │
│ ────────────────────────────────────────                                     │
│ File: components/player/subtitles/InteractiveSubtitlesOverlay.tsx            │
│ Purpose: Tap-to-translate overlay                                            │
│ ────────────────────────────────────────                                     │
│ File: components/player/subtitles/LiveSubtitleOverlay.tsx                    │
│ Purpose: Real-time captions                                                  │
│ ────────────────────────────────────────                                     │
│ File: components/player/subtitles/index.ts                                   │
│ Purpose: Barrel export                                                       │
│ ────────────────────────────────────────                                     │
│ File: hooks/useSubtitleMode.ts                                               │
│ Purpose: Subtitle mode state                                                 │
│                                                                              │
│ Reuse: shared/components/InteractiveSubtitles.tsx, apiSubtitlesService       │
│                                                                              │
│ 1C. Dubbing Controls                                                         │
│                                                                              │
│ File: components/player/dubbing/BilingualDubbingOverlay.tsx                  │
│ Purpose: Audio mix overlay                                                   │
