
 ▐▛███▜▌   Claude Code v2.1.42
▝▜█████▛▘  Opus 4.6 · Claude Max
  ▘▘ ▝▝    ~/Documents/Projects/olorin/olorin-media/bayit-plus/ios-app

╭──────────────────────────────────────────────────────────────────────────────╮
│ Plan to implement                                                            │
│                                                                              │
│ VOD & Player Cross-Platform Feature Parity Plan                              │
│                                                                              │
│ Context                                                                      │
│                                                                              │
│ Bayit+ VOD and player features are implemented inconsistently across 5       │
│ platforms (web, mobile/RN, iOS native, tvOS, Android/RN). Each platform was  │
│ built independently, leading to significant feature gaps. This plan brings   │
│ ALL platforms to parity with the most complete implementation.               │
│                                                                              │
│ Investigation Results: Platform Ranking                                      │
│                                                                              │
│ Mobile App (React Native) is the gold standard -- the most complete platform │
│  with 7 screens, 25 components (19 VOD + 6 player), 3 persisted stores, and  │
│ 26 API endpoint integrations.                                                │
│                                                                              │
│ ---                                                                          │
│ CROSS-PLATFORM FEATURE MATRIX                                                │
│                                                                              │
│ Legend: [x] = Has feature, [ ] = Missing, [~] = Partial/UI-only              │
│                                                                              │
│ A. VOD Browsing & Discovery                                                  │
│                                                                              │
│ Feature: Hero carousel (auto-scroll, featured)                               │
│ Mobile: [x]                                                                  │
│ Web: [x]                                                                     │
│ iOS: [x]                                                                     │
│ tvOS: [x]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Continue watching row (progress bars)                               │
│ Mobile: [x]                                                                  │
│ Web: [x]                                                                     │
│ iOS: [ ]                                                                     │
│ tvOS: [x]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Category rows (horizontal scroll)                                   │
│ Mobile: [x]                                                                  │
│ Web: [x]                                                                     │
│ iOS: [x]                                                                     │
│ tvOS: [x]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Category grid with filters                                          │
│ Mobile: [x]                                                                  │
│ Web: [x]                                                                     │
│ iOS: [x]                                                                     │
│ tvOS: [ ]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Genre filter tabs                                                   │
│ Mobile: [x]                                                                  │
│ Web: [x]                                                                     │
│ iOS: [~] type+sort only                                                      │
│ tvOS: [ ]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Sort options (popular/newest/rating)                                │
│ Mobile: [x]                                                                  │
│ Web: [x]                                                                     │
│ iOS: [x]                                                                     │
│ tvOS: [ ]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Search with debounce                                                │
│ Mobile: [x]                                                                  │
│ Web: [x]                                                                     │
│ iOS: [x]                                                                     │
│ tvOS: [x]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Search suggestions/autocomplete                                     │
│ Mobile: [ ]                                                                  │
│ Web: [ ]                                                                     │
│ iOS: [ ]                                                                     │
│ tvOS: [ ]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Collections listing screen                                          │
│ Mobile: [x]                                                                  │
│ Web: [x]                                                                     │
│ iOS: [ ]                                                                     │
│ tvOS: [x]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Collection detail screen                                            │
│ Mobile: [x]                                                                  │
│ Web: [x]                                                                     │
│ iOS: [ ]                                                                     │
│ tvOS: [x]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: AI-rotating collections                                             │
│ Mobile: [ ]                                                                  │
│ Web: [ ]                                                                     │
│ iOS: [ ]                                                                     │
│ tvOS: [x]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Trending row                                                        │
│ Mobile: [ ]                                                                  │
│ Web: [ ]                                                                     │
│ iOS: [ ]                                                                     │
│ tvOS: [x]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Hebrew dub availability badge                                       │
│ Mobile: [x]                                                                  │
│ Web: [ ]                                                                     │
│ iOS: [ ]                                                                     │
│ tvOS: [x]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Content type badge (SERIES)                                         │
│ Mobile: [x]                                                                  │
│ Web: [ ]                                                                     │
│ iOS: [ ]                                                                     │
│ tvOS: [ ]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Pull-to-refresh                                                     │
│ Mobile: [x]                                                                  │
│ Web: [ ]                                                                     │
│ iOS: [ ]                                                                     │
│ tvOS: [ ]                                                                    │
│ ────────────────────────────────────────                                     │
│ Feature: Infinite scroll/pagination                                          │
│ Mobile: [x]                                                                  │
│ Web: [x]                                                                     │
│ iOS: [x]                                                                     │
│ tvOS: [ ]                                                                    │
│                                                                              │
│ B. VOD Detail & Info                                                         │
│                                                                              │
│ ┌────────────────────────────────┬────────┬─────┬─────┬──────┐               │
│ │            Feature             │ Mobile │ Web │ iOS │ tvOS │               │
│ ├────────────────────────────────┼────────┼─────┼─────┼──────┤               │
